TICKER_SYMBOL_IDENTIFIER,PRODUCT_TYPE
CIPIX,Mutual Funds
BMSIX,Mutual Funds
MMUKX,Mutual Funds
USGNX,Mutual Funds
ALVDX,Mutual Funds
FAVCX,Mutual Funds
GUSPX,Mutual Funds
VEVFX,Mutual Funds
BSPIX,Mutual Funds
FCLKX,Mutual Funds
EEACX,Mutual Funds
CRISX,Mutual Funds
PAOFX,Mutual Funds
OAKLX,Mutual Funds
PJIZX,Mutual Funds
ALVOX,Mutual Funds
UTAXX,Mutual Funds
VDSRX,Mutual Funds
SMTSX,Mutual Funds
GCIEX,Mutual Funds
WAESX,Mutual Funds
ASRCX,Mutual Funds
GLRIX,Mutual Funds
EVGFX,Mutual Funds
FGTNX,Mutual Funds
AZBPX,Mutual Funds
RIFYX,Mutual Funds
ACSUX,Mutual Funds
CAMWX,Mutual Funds
FACBX,Mutual Funds
PAITX,Mutual Funds
JPPIX,Mutual Funds
OICTX,Mutual Funds
BUFTX,Mutual Funds
FPEMX,Mutual Funds
IRSRX,Mutual Funds
PPNMX,Mutual Funds
EAASX,Mutual Funds
EBTIX,Mutual Funds
RIRGX,Mutual Funds
THDIX,Mutual Funds
PFATX,Mutual Funds
PSGAX,Mutual Funds
AEMDX,Mutual Funds
FGBBX,Mutual Funds
DHLTX,Mutual Funds
FDSAX,Mutual Funds
WGGIX,Mutual Funds
FRAPX,Mutual Funds
DLFNX,Mutual Funds
RALGX,Mutual Funds
GLDIX,Mutual Funds
LHYRX,Mutual Funds
PNVYX,Mutual Funds
NSPIX,Mutual Funds
DISRX,Mutual Funds
DFIEX,Mutual Funds
HPEAX,Mutual Funds
CSHIX,Mutual Funds
RGEVX,Mutual Funds
HYFAX,Mutual Funds
POEYX,Mutual Funds
MCGIX,Mutual Funds
SHFVX,Mutual Funds
HSCYX,Mutual Funds
PGBRX,Mutual Funds
GTLOX,Mutual Funds
SSGLX,Mutual Funds
DFDIX,Mutual Funds
IENRX,Mutual Funds
NBMBX,Mutual Funds
WFENX,Mutual Funds
BROAX,Mutual Funds
FRAAX,Mutual Funds
FHJUX,Mutual Funds
JIIEX,Mutual Funds
LBNSX,Mutual Funds
FGLTX,Mutual Funds
FAGAX,Mutual Funds
CSDIX,Mutual Funds
FFCMX,Mutual Funds
FSXMX,Mutual Funds
CACRX,Mutual Funds
MLAAX,Mutual Funds
WSTRX,Mutual Funds
SEVAX,Mutual Funds
FKTWX,Mutual Funds
NTITX,Mutual Funds
ORENX,Mutual Funds
AAEPX,Mutual Funds
DHMYX,Mutual Funds
FGCBX,Mutual Funds
LIRRX,Mutual Funds
HFCIX,Mutual Funds
HWSAX,Mutual Funds
WFATX,Mutual Funds
NLSIX,Mutual Funds
HWMIX,Mutual Funds
EIIPX,Mutual Funds
LGLAX,Mutual Funds
JSPGX,Mutual Funds
FSKTX,Mutual Funds
CSLRX,Mutual Funds
PRIDX,Mutual Funds
RCHTX,Mutual Funds
FKASX,Mutual Funds
PHTFX,Mutual Funds
JHYNX,Mutual Funds
TRBCX,Mutual Funds
GBMRX,Mutual Funds
CCETX,Mutual Funds
CSRSX,Mutual Funds
OBOCX,Mutual Funds
JERTX,Mutual Funds
HILGX,Mutual Funds
PXTIX,Mutual Funds
JGPIX,Mutual Funds
GSGAX,Mutual Funds
AGGRX,Mutual Funds
JLCWX,Mutual Funds
OGTFX,Mutual Funds
MVCHX,Mutual Funds
MLRTX,Mutual Funds
PKSFX,Mutual Funds
JTTYX,Mutual Funds
FAHEX,Mutual Funds
FSLXX,Mutual Funds
SSRCX,Mutual Funds
MPFIX,Mutual Funds
FSHNX,Mutual Funds
JVSIX,Mutual Funds
GSFAX,Mutual Funds
PROIX,Mutual Funds
SEMNX,Mutual Funds
BIGPX,Mutual Funds
DVRKX,Mutual Funds
SAFGX,Mutual Funds
PPVIX,Mutual Funds
MTOKX,Mutual Funds
THIRX,Mutual Funds
RNGCX,Mutual Funds
LMPFX,Mutual Funds
OLGCX,Mutual Funds
RLBAX,Mutual Funds
JUEQX,Mutual Funds
PHTNX,Mutual Funds
VFWIX,Mutual Funds
ADGIX,Mutual Funds
HRTVX,Mutual Funds
FAERX,Mutual Funds
JSFZX,Mutual Funds
WFDCX,Mutual Funds
FBNDX,Mutual Funds
FPLCX,Mutual Funds
PIODX,Mutual Funds
LADIX,Mutual Funds
POMIX,Mutual Funds
FGTZX,Mutual Funds
MDLVX,Mutual Funds
FCHSX,Mutual Funds
SPTAX,Mutual Funds
VMFGX,Mutual Funds
LTRTX,Mutual Funds
BMDIX,Mutual Funds
EGINX,Mutual Funds
FIDYX,Mutual Funds
PRLPX,Mutual Funds
RSDGX,Mutual Funds
IDYYX,Mutual Funds
LZESX,Mutual Funds
SLCGX,Mutual Funds
FDEKX,Mutual Funds
SSSIX,Mutual Funds
FNJHX,Mutual Funds
FIADX,Mutual Funds
OSGIX,Mutual Funds
FRIAX,Mutual Funds
RYTPX,Mutual Funds
PHYSX,Mutual Funds
IRSAX,Mutual Funds
CMCBX,Mutual Funds
PAGEX,Mutual Funds
TCSVX,Mutual Funds
PNIGX,Mutual Funds
LDSAX,Mutual Funds
CAIRX,Mutual Funds
BXMIX,Mutual Funds
WFVRX,Mutual Funds
FOHIX,Mutual Funds
HSVAX,Mutual Funds
VUSUX,Mutual Funds
SPFZX,Mutual Funds
LEVIX,Mutual Funds
VBMPX,Mutual Funds
FSRAX,Mutual Funds
RWEBX,Mutual Funds
FSNJX,Mutual Funds
FMIHX,Mutual Funds
SSDAX,Mutual Funds
FARVX,Mutual Funds
WFAYX,Mutual Funds
VMGMX,Mutual Funds
PTSPX,Mutual Funds
JVTNX,Mutual Funds
FFIHX,Mutual Funds
CHCRX,Mutual Funds
JCBIX,Mutual Funds
VUSTX,Mutual Funds
FDXAX,Mutual Funds
PFODX,Mutual Funds
DLCEX,Mutual Funds
PKAIX,Mutual Funds
AFEIX,Mutual Funds
AGAAX,Mutual Funds
JAAIX,Mutual Funds
MDSRX,Mutual Funds
JIMAX,Mutual Funds
FMFEX,Mutual Funds
WFTYX,Mutual Funds
MQLJX,Mutual Funds
CENRX,Mutual Funds
RBNTX,Mutual Funds
QMHRX,Mutual Funds
AVTRX,Mutual Funds
GPAIX,Mutual Funds
COSSX,Mutual Funds
DFIIX,Mutual Funds
AAARX,Mutual Funds
PJMRX,Mutual Funds
GCCRX,Mutual Funds
LTMRX,Mutual Funds
FVCLX,Mutual Funds
CEMRX,Mutual Funds
RGWGX,Mutual Funds
PNOPX,Mutual Funds
FSLCX,Mutual Funds
VWESX,Mutual Funds
FCLAX,Mutual Funds
JPGSX,Mutual Funds
OGLYX,Mutual Funds
BPEQX,Mutual Funds
TRBRX,Mutual Funds
FCAGX,Mutual Funds
MGCAX,Mutual Funds
LAUVX,Mutual Funds
REPXX,Mutual Funds
APHIX,Mutual Funds
LVMAX,Mutual Funds
FIEUX,Mutual Funds
GATRX,Mutual Funds
