Date,FACBX,FAVCX,FGBBX,FGTNX,FPEMX
2000-01-03,,,4.638082,,
2000-01-04,,,4.638082,,
2000-01-05,,,4.638082,,
2000-01-06,,,4.638082,,
2000-01-07,,,4.638082,,
2000-01-10,,,4.638082,,
2000-01-11,,,4.638082,,
2000-01-12,,,4.638082,,
2000-01-13,,,4.638082,,
2000-01-14,,,4.638082,,
2000-01-18,,,4.638082,,
2000-01-19,,,4.638082,,
2000-01-20,,,4.638082,,
2000-01-21,,,4.638082,,
2000-01-24,,,4.638082,,
2000-01-25,,,4.638082,,
2000-01-26,,,4.638082,,
2000-01-27,,,4.638082,,
2000-01-28,,,4.638082,,
2000-01-31,,,4.60442,,
2000-02-01,,,4.60442,,
2000-02-02,,,4.60442,,
2000-02-03,,,4.60442,,
2000-02-04,,,4.60442,,
2000-02-07,,,4.60442,,
2000-02-08,,,4.60442,,
2000-02-09,,,4.60442,,
2000-02-10,,,4.60442,,
2000-02-11,,,4.60442,,
2000-02-14,,,4.60442,,
2000-02-15,,,4.60442,,
2000-02-16,,,4.60442,,
2000-02-17,,,4.60442,,
2000-02-18,,,4.60442,,
2000-02-22,,,4.60442,,
2000-02-23,,,4.60442,,
2000-02-24,,,4.60442,,
2000-02-25,,,4.60442,,
2000-02-28,,,4.60442,,
2000-02-29,,,4.63135,,
2000-03-01,,,4.63135,,
2000-03-02,,,4.63135,,
2000-03-03,,,4.63135,,
2000-03-06,,,4.63135,,
2000-03-07,,,4.63135,,
2000-03-08,,,4.63135,,
2000-03-09,,,4.63135,,
2000-03-10,,,4.63135,,
2000-03-13,,,4.63135,,
2000-03-14,,,4.63135,,
2000-03-15,,,4.63135,,
2000-03-16,,,4.63135,,
2000-03-17,,,4.63135,,
2000-03-20,,,4.63135,,
2000-03-21,,,4.63135,,
2000-03-22,,,4.63135,,
2000-03-23,,,4.63135,,
2000-03-24,,,4.63135,,
2000-03-27,,,4.63135,,
2000-03-28,,,4.63135,,
2000-03-29,,,4.63135,,
2000-03-30,,,4.63135,,
2000-03-31,,,4.665007,,
2000-04-03,,,4.665007,,
2000-04-04,,,4.665007,,
